epoch,loss
1,1.4870067811294978
2,1.581724270530369
3,1.2730511028776055
4,1.0456643811327666
5,0.8192624825498332
6,0.7106537613944103
7,0.6592900529209333
8,0.6075717186032548
9,0.570789950874012
10,0.5322970969403685
11,0.49397821824541205
12,0.46719487194016046
13,0.4465284729781358
14,0.43381283717899927
15,0.40548239141820447
16,0.40064463885169727
17,0.3775886573456964
18,0.35456010799398535
19,0.3710966986629803
20,0.3675842292223994
21,0.34471626856581494
22,0.3325647358366623
23,0.3493263886674591
24,0.3130250602607199
25,0.30720547919452423
26,0.374709509106964
27,0.30800475680780975
28,0.2903607722386541
29,0.2942950196358055
30,0.2927218275696864
31,0.28963761284888495
32,0.28475765153588983
33,0.2786402827195028
34,0.2908347600945842
35,0.27184219381554797
36,0.265250092585803
37,0.2701717441378846
38,0.2590804523512309
39,0.25863462259529135
40,0.2522919956638879
